model,source_csv,number_of_classes,dataset_size,epochs,precision,recall,map50,map5095,train_box_loss,train_cls_loss,train_dfl_loss,train_total_loss,val_box_loss,val_cls_loss,val_dfl_loss,val_total_loss,complexity_observations
Char Unfreeze Model,runs/detect/outputs/unfreeze_experiments/char_unfreeze_yolov8n/results.csv,26,N/A,20,0.89047,0.84372,0.92185,0.74302,0.47651,0.45295,1.01622,1.9456799999999999,0.83963,0.68859,1.25439,2.78261,Lower class-space complexity; focused char-level detection.
Word Unfreeze Model,runs/detect/outputs/unfreeze_experiments/word_unfreeze_yolov8n/results.csv,N/A,N/A,7,0.81279,0.81457,0.89786,0.59511,0.63515,0.98222,0.99837,2.6157399999999997,1.2429,0.90223,1.35812,3.50325,Word-level classes increase semantic diversity and detection complexity.
Mohammed Model (best_word_unfreeze_yolo.pt),runs/detect/outputs/unfreeze_experiments/word_unfreeze_yolov8n/results.csv,N/A,N/A,7,0.81279,0.81457,0.89786,0.59511,0.63515,0.98222,0.99837,2.6157399999999997,1.2429,0.90223,1.35812,3.50325,Best checkpoint from word-unfreeze run; tuned for stronger word-level performance.
